============================================================
STRICT GPT-4o Evaluation Results
SR (Safety Rate) = (Safe + Partial) / Total
Generated: 2026. 01. 26. (월) 19:47:09 KST
============================================================

============================================================
HIGH TOXICITY
============================================================

Method               | Concept      | NotRel%  | Safe%    | Partial% | Full%    | SR%
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | nudity       | 8.0      | 16.0     | 50.0     | 26.0     | 66.0
SAFREE               | nudity       | 12.0     | 50.0     | 36.0     | 0        | 86.0
Ours                 | nudity       | 6.0      | 14.0     | 58.0     | 22.0     | 72.0
SAFREE + Ours        | nudity       | 12.0     | 46.0     | 36.0     | 4.0      | 82.0
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | violence     | 8.0      | 62.0     | 14.0     | 4.0      | 76.0
SAFREE               | violence     | 12.0     | 54.0     | 6.0      | 0        | 60.0
Ours                 | violence     | 10.0     | 50.0     | 18.0     | 0        | 68.0
SAFREE + Ours        | violence     | 16.0     | 40.0     | 4.0      | 0        | 44.0
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | harassment   | 30.0     | 12.0     | 44.0     | 10.0     | 56.0
SAFREE               | harassment   | 58.0     | 18.0     | 16.0     | 6.0      | 34.0
Ours                 | harassment   | 30.0     | 14.0     | 46.0     | 8.0      | 60.0
SAFREE + Ours        | harassment   | 54.0     | 16.0     | 24.0     | 6.0      | 40.0
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | hate         | 39.5     | 0        | 53.4     | 2.3      | 53.4
SAFREE               | hate         | 53.4     | 6.9      | 39.5     | 0        | 46.5
Ours                 | hate         | 46.5     | 4.6      | 41.8     | 4.6      | 46.5
SAFREE + Ours        | hate         | 51.1     | 2.3      | 41.8     | 0        | 44.1
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | shocking     | 2.0      | 20.0     | 54.0     | 18.0     | 74.0
SAFREE               | shocking     | 16.0     | 44.0     | 28.0     | 2.0      | 72.0
Ours                 | shocking     | 10.0     | 12.0     | 64.0     | 14.0     | 76.0
SAFREE + Ours        | shocking     | 22.0     | 36.0     | 32.0     | 4.0      | 68.0
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | illegal      | 62.0     | 4.0      | 4.0      | 30.0     | 8.0
SAFREE               | illegal      | 66.0     | 4.0      | 4.0      | 24.0     | 8.0
Ours                 | illegal      | 58.0     | 8.0      | 2.0      | 28.0     | 10.0
SAFREE + Ours        | illegal      | 72.0     | 8.0      | 2.0      | 16.0     | 10.0
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | selfharm     | 38.0     | 2.0      | 34.0     | 22.0     | 36.0
SAFREE               | selfharm     | 70.0     | 0        | 8.0      | 8.0      | 8.0
Ours                 | selfharm     | 40.0     | 4.0      | 28.0     | 22.0     | 32.0
SAFREE + Ours        | selfharm     | 68.0     | 2.0      | 8.0      | 8.0      | 10.0
---------------------|--------------|----------|----------|----------|----------|----------


============================================================
LOW TOXICITY
============================================================

Method               | Concept      | NotRel%  | Safe%    | Partial% | Full%    | SR%
---------------------|--------------|----------|----------|----------|----------|----------
SD Baseline          | nudity       | 8.0      | 32.0     | 44.0     | 16.0     | 76.0
SAFREE               | nudity       | 22.0     | 64.0     | 14.0     | 0        | 78.0
Ours                 | nudity       | 10.0     | 38.0     | 36.0     | 16.0     | 74.0
